"日付け","終値","始値","高値","安値","前日比%"
"2019年09月19日","108.02","108.45","108.47","107.78","-0.40%"
"2019年09月18日","108.45","108.12","108.48","108.08","0.29%"
"2019年09月17日","108.14","108.11","108.38","108.03","0.00%"
"2019年09月16日","108.14","107.67","108.17","107.48","0.06%"
"2019年09月13日","108.08","108.09","108.28","107.92","-0.03%"
"2019年09月12日","108.11","107.83","108.19","107.52","0.26%"
"2019年09月11日","107.83","107.55","107.86","107.50","0.26%"
"2019年09月10日","107.55","107.25","107.59","107.19","0.28%"
"2019年09月09日","107.25","106.83","107.28","106.77","0.31%"
"2019年09月06日","106.92","106.95","107.11","106.62","0.00%"
"2019年09月05日","106.92","106.36","107.22","106.31","0.50%"
"2019年09月04日","106.39","105.94","106.44","105.83","0.42%"
"2019年09月03日","105.94","106.23","106.40","105.74","-0.26%"
"2019年09月02日","106.22","106.25","106.41","105.92","-0.08%"
"2019年08月30日","106.31","106.50","106.56","106.11","-0.20%"
"2019年08月29日","106.52","106.12","106.69","105.83","0.38%"
"2019年08月28日","106.12","105.75","106.23","105.66","0.37%"
"2019年08月27日","105.73","106.16","106.17","105.59","-0.39%"
"2019年08月26日","106.14","105.14","106.41","104.45","0.69%"
"2019年08月23日","105.41","106.44","106.75","105.27","-0.97%"
"2019年08月22日","106.44","106.61","106.66","106.25","-0.17%"
"2019年08月21日","106.62","106.22","106.66","106.22","0.37%"
"2019年08月20日","106.23","106.63","106.69","106.17","-0.38%"
"2019年08月19日","106.64","106.34","106.70","106.25","0.24%"
"2019年08月16日","106.38","106.12","106.50","106.03","0.25%"
"2019年08月15日","106.12","105.92","106.78","105.70","0.20%"
"2019年08月14日","105.91","106.75","106.78","105.66","-0.79%"
"2019年08月13日","106.75","105.31","106.98","105.06","1.37%"
"2019年08月12日","105.31","105.58","105.70","105.05","-0.34%"
"2019年08月09日","105.67","106.08","106.12","105.27","-0.39%"
"2019年08月08日","106.08","106.28","106.31","105.89","-0.19%"
"2019年08月07日","106.28","106.48","106.48","105.50","-0.19%"
"2019年08月06日","106.48","105.94","107.08","105.53","0.50%"
"2019年08月05日","105.95","106.59","106.69","105.78","-0.60%"
"2019年08月02日","106.59","107.34","107.58","106.50","-0.70%"
"2019年08月01日","107.34","108.80","109.33","107.27","-1.30%"
"2019年07月31日","108.75","108.61","109.00","108.50","0.13%"
"2019年07月30日","108.61","108.78","108.95","108.45","-0.16%"
"2019年07月29日","108.78","108.69","108.91","108.42","0.10%"
"2019年07月26日","108.67","108.64","108.83","108.56","0.03%"
"2019年07月25日","108.64","108.19","108.77","108.03","0.42%"
"2019年07月24日","108.19","108.22","108.28","107.94","-0.03%"
"2019年07月23日","108.22","107.84","108.30","107.83","0.32%"
"2019年07月22日","107.88","107.80","108.08","107.70","0.15%"
"2019年07月19日","107.72","107.30","107.97","107.22","0.39%"
"2019年07月18日","107.30","107.94","108.02","107.20","-0.59%"
"2019年07月17日","107.94","108.25","108.33","107.94","-0.28%"
"2019年07月16日","108.24","107.92","108.39","107.83","0.30%"
"2019年07月15日","107.92","107.88","108.11","107.80","0.01%"
"2019年07月12日","107.91","108.48","108.61","107.80","-0.54%"
"2019年07月11日","108.50","108.47","108.53","107.86","0.03%"
"2019年07月10日","108.47","108.84","108.98","108.33","-0.36%"
"2019年07月09日","108.86","108.72","108.97","108.67","0.13%"
"2019年07月08日","108.72","108.44","108.81","108.28","0.23%"
"2019年07月05日","108.47","107.81","108.64","107.78","0.61%"
"2019年07月04日","107.81","107.80","107.86","107.71","-0.02%"
"2019年07月03日","107.83","107.89","107.93","107.53","-0.06%"
"2019年07月02日","107.89","108.44","108.48","107.77","-0.51%"
"2019年07月01日","108.44","108.11","108.55","108.11","0.51%"
"2019年06月28日","107.89","107.80","107.94","107.56","0.08%"
"2019年06月27日","107.80","107.80","108.17","107.64","0.02%"
"2019年06月26日","107.78","107.19","107.86","107.09","0.55%"
"2019年06月25日","107.19","107.31","107.42","106.78","-0.10%"
"2019年06月24日","107.30","107.41","107.55","107.25","-0.01%"
"2019年06月21日","107.31","107.31","107.75","107.06","0.00%"
"2019年06月20日","107.31","108.09","108.14","107.22","-0.74%"
"2019年06月19日","108.11","108.45","108.62","107.91","-0.31%"
"2019年06月18日","108.45","108.55","108.69","108.06","-0.10%"
"2019年06月17日","108.56","108.44","108.72","108.41","0.00%"
"2019年06月14日","108.56","108.38","108.59","108.16","0.16%"
"2019年06月13日","108.39","108.52","108.55","108.17","-0.10%"
"2019年06月12日","108.50","108.52","108.58","108.22","-0.02%"
